30SXJ3,39.51,-0.96
30SXJ4,39.06,-0.98
30SXK2,39.97,-1.54
30SXK4,39.96,-0.95
30SYG1,37.69,-0.37
30SYH1,38.59,-0.35
30SYH2,38.14,-0.36
30SYJ1,39.49,-0.34
30SYJ2,39.04,-0.34
30SYK2,39.94,-0.33
30TTK3,40.39,-5.68
30TTL3,41.29,-5.69
30TTL4,40.84,-5.69
30TTM3,42.20,-5.71
30TTM4,41.74,-5.70
30TTN3,43.10,-5.73
30TTN4,42.65,-5.72
30TTP4,43.55,-5.74
30TUK1,40.41,-5.06
30TUK3,40.42,-4.47
30TUL1,41.31,-5.09
30TUL2,40.86,-5.08
30TUL3,41.32,-4.49
30TUL4,40.87,-4.48
30TUM1,42.21,-5.12
30TUM2,41.76,-5.11
30TUM3,42.22,-4.51
30TUM4,41.77,-4.50
30TUN1,43.11,-5.15
30TUN2,42.66,-5.14
30TUN3,43.12,-4.54
30TUN4,42.67,-4.53
30TUP2,43.56,-5.17
30TUP4,43.57,-4.55
30TVK1,40.42,-3.88
30TVK3,40.43,-3.29
30TVL1,41.32,-3.90
30TVL2,40.87,-3.89
30TVL3,41.33,-3.30
30TVL4,40.88,-3.30
30TVM1,42.22,-3.91
30TVM2,41.77,-3.90
30TVM3,42.23,-3.30
30TVM4,41.78,-3.30
30TVN1,43.12,-3.92
30TVN2,42.67,-3.92
30TVN3,43.13,-3.31
30TVN4,42.68,-3.31
30TVP2,43.57,-3.93
30TVP4,43.58,-3.31
30TVT1,47.62,-4.00
30TVT3,47.63,-3.33
30TVT4,47.18,-3.33
30TWK1,40.43,-2.71
30TWK3,40.42,-2.12
30TWL1,41.33,-2.70
30TWL2,40.88,-2.70
30TWL3,41.32,-2.10
30TWL4,40.87,-2.11
30TWM1,42.23,-2.70
30TWM2,41.78,-2.70
30TWM3,42.22,-2.09
30TWM4,41.77,-2.10
30TWN1,43.13,-2.69
30TWN2,42.68,-2.69
30TWN3,43.12,-2.08
30TWN4,42.67,-2.08
30TWP2,43.58,-2.69
30TWS1,46.73,-2.67
30TWS3,46.72,-2.02
30TWT1,47.63,-2.67
30TWT2,47.18,-2.67
30TWT3,47.62,-2.00
30TWT4,47.17,-2.01
30TXK1,40.42,-1.53
30TXK3,40.41,-0.94
30TXL1,41.32,-1.51
30TXL2,40.87,-1.52
30TXL3,41.31,-0.91
30TXL4,40.86,-0.92
30TXM1,42.22,-1.49
30TXM2,41.77,-1.50
30TXM3,42.21,-0.88
30TXM4,41.76,-0.89
30TXN1,43.12,-1.46
30TXN2,42.67,-1.47
30TXN3,43.11,-0.85
30TXN4,42.66,-0.86
30TXP1,44.02,-1.44
30TXP2,43.57,-1.45
30TXP3,44.01,-0.82
30TXP4,43.56,-0.83
30TXQ1,44.92,-1.42
30TXQ2,44.47,-1.43
30TXQ3,44.91,-0.78
30TXQ4,44.46,-0.80
30TXR1,45.82,-1.39
30TXR2,45.37,-1.40
30TXR3,45.81,-0.75
30TXR4,45.36,-0.77
30TXS1,46.72,-1.36
30TXS2,46.27,-1.38
30TXS3,46.71,-0.71
30TXS4,46.26,-0.73
30TXT1,47.62,-1.34
30TXT2,47.17,-1.35
30TXT3,47.60,-0.67
30TXT4,47.16,-0.69
30TYK1,40.39,-0.32
30TYL1,41.29,-0.31
30TYL2,40.84,-0.31
30TYM1,42.20,-0.29
30TYM2,41.74,-0.30
30TYN1,43.10,-0.27
30TYN2,42.65,-0.28
30TYP1,44.00,-0.25
30TYP2,43.55,-0.26
30TYQ1,44.89,-0.23
30TYQ2,44.45,-0.24
30TYR1,45.79,-0.21
30TYR2,45.34,-0.22
30TYS1,46.69,0.00
30TYS2,46.24,0.00
30TYT1,47.59,0.00
30TYT2,47.14,0.00
30UUA1,50.30,-5.55
30UUA2,49.85,-5.43
30UUA3,50.31,-4.76
30UUA4,49.86,-4.74
30UUB3,51.21,-4.79
30UUB4,50.76,-4.77
30UUC1,52.10,-5.60
30UUC2,51.65,-5.58
30UUC3,52.11,-4.83
30UUC4,51.66,-4.81
30UUD3,53.01,-4.86
30UUE3,53.91,-4.90
30UUE4,53.46,-4.88
30UUF1,54.79,-5.67
30UUF2,54.34,-5.65
30UUF3,54.81,-4.94
30UUF4,54.36,-4.92
30UUG1,55.69,-5.69
30UUG2,55.24,-5.68
30UUG3,55.70,-4.99
30UUG4,55.26,-4.97
30UUU1,48.50,-5.37
30UUU3,48.52,-4.69
30UUU4,48.07,-4.68
30UVA1,50.32,-4.05
30UVA3,50.33,-3.35
30UVB1,51.22,-4.07
30UVB2,50.77,-4.06
30UVB3,51.23,-3.36
30UVB4,50.78,-3.35
30UVC1,52.12,-4.10
30UVC2,51.67,-4.08
30UVC3,52.13,-3.37
30UVC4,51.68,-3.36
30UVD1,53.02,-4.12
30UVD2,52.57,-4.11
30UVD3,53.02,-3.37
30UVD4,52.57,-3.37
30UVE2,53.47,-4.13
30UVE3,53.92,-3.38
30UVE4,53.47,-3.38
30UVF1,54.82,-4.17
30UVF2,54.37,-4.15
30UVF3,54.82,-3.39
30UVF4,54.37,-3.38
30UVG1,55.71,-4.19
30UVG2,55.27,-4.18
30UVG3,55.72,-3.40
30UVG4,55.27,-3.39
30UVU1,48.52,-4.02
30UVU2,48.07,-4.01
30UVU3,48.53,-3.34
30UVU4,48.08,-3.34
30UVV4,48.98,-3.34
30UWA1,50.33,-2.65
30UWA4,49.87,-1.96
30UWB1,51.23,-2.64
30UWB2,50.78,-2.65
30UWB3,51.22,-1.93
30UWB4,50.77,-1.94
30UWC1,52.13,-2.63
30UWC2,51.68,-2.64
30UWC3,52.12,-1.90
30UWC4,51.67,-1.92
30UWD1,53.02,-2.63
30UWD2,52.57,-2.63
30UWD3,53.02,-1.88
30UWD4,52.57,-1.89
30UWE1,53.92,-2.62
30UWE2,53.47,-2.62
30UWE3,53.92,-1.86
30UWE4,53.47,-1.87
30UWF1,54.82,-2.61
30UWF2,54.37,-2.62
30UWF3,54.82,-1.83
30UWF4,54.37,-1.85
30UWG1,55.72,-2.60
30UWG2,55.27,-2.61
30UWG3,55.71,-1.81
30UWG4,55.27,-1.82
30UWU1,48.53,-2.66
30UWU2,48.08,-2.66
30UWU3,48.52,-1.98
30UWU4,48.07,-1.99
30UWV1,49.43,-2.66
30UWV3,49.42,-1.97
30UWV4,48.97,-1.98
30UXA2,49.86,-1.26
30UXB1,51.21,-1.21
30UXB2,50.76,-1.23
30UXB3,51.20,-0.43
30UXB4,50.75,-0.44
30UXC1,52.11,-1.17
30UXC2,51.66,-1.19
30UXC3,52.10,-0.40
30UXC4,51.65,-0.42
30UXD1,53.01,-1.14
30UXD2,52.56,-1.16
30UXD3,53.00,-0.38
30UXD4,52.55,-0.39
30UXE1,53.91,-1.10
30UXE2,53.46,-1.12
30UXE3,53.89,-0.36
30UXE4,53.45,-0.37
30UXF1,54.81,-1.06
30UXF2,54.36,-1.08
30UXF4,54.34,-0.35
30UXU1,48.52,-1.31
30UXU2,48.07,-1.32
30UXU3,48.50,-0.63
30UXU4,48.05,-0.65
30UXV1,49.41,-1.28
30UXV2,48.97,-1.29
30UXV3,49.40,-0.59
30UXV4,48.95,-0.61
30UYU1,48.49,0.00
30UYU2,48.04,0.00
30VUH1,56.59,-5.72
30VUH2,56.14,-5.71
30VUH3,56.60,-5.04
30VUH4,56.15,-5.01
30VUJ3,57.50,-5.09
30VUJ4,57.05,-5.06
30VUK3,58.40,-5.14
30VUK4,57.95,-5.11
30VVH1,56.61,-4.22
30VVH2,56.16,-4.21
30VVH3,56.62,-3.41
30VVH4,56.17,-3.40
30VVJ1,57.51,-4.25
30VVJ2,57.06,-4.24
30VVJ3,57.52,-3.42
30VVJ4,57.07,-3.41
30VVK1,58.41,-4.28
